file,sku,uid,status,message
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/BICI/Varie/DOT4BK Brake fluid.jpg,DOT4BK,41159464,OK,"{
    ""image_id"": ""6a6362ede39ee1be7230652e"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a6362ede39ee1be7230652e"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a6362ede39ee1be7230652e""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/R-FLO/HO26FL 2.jpg,HO26FL,41227035,OK,"{
    ""image_id"": ""6a6362fcbe7ea04ad66461be"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a6362fcbe7ea04ad66461be"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a6362fcbe7ea04ad66461be""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/BICI/Varie/KR0173 - 2.jpg,KR0173,41159706,OK,"{
    ""image_id"": ""6a636306e39ee13173306515"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a636306e39ee13173306515"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a636306e39ee13173306515""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/R-FIX/RF3105_1.jpg,RF3105,41160118,OK,"{
    ""image_id"": ""6a63630abe7ea08ad66461c1"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a63630abe7ea08ad66461c1"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a63630abe7ea08ad66461c1""
}"
