file,sku,uid,status,message
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/743SM1.jpg,743SM1,41158838,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/746CM44.jpg,746CM44,41158840,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM46/746CM46.jpg,746CM46,41158841,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/746CM55.jpg,746CM55,41158842,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/748CM56.jpg,748CM56,41158844,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/751SM1.jpg,751SM1,41158847,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/756CM55.jpg,756CM55,41158848,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/757SM1.jpg,757SM1,41158850,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/764CM55.jpg,764CM55,41158853,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/764CM66.jpg,764CM66,41158854,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/772CM44.jpg,772CM44,41158857,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM46/772CM46.jpg,772CM46,41158858,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM46/773CM46.jpg,773CM46,41158860,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/773CM56.jpg,773CM56,41158861,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/774SM1.jpg,774SM1,41158863,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/775CM56.jpg,775CM56,41158864,OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/776CM55.jpg,776CM55,41158866,OK,
