sku,nome_prodotto,brand,categoria
WK3105R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3106L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø292,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3106R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø292,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3107R,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3110L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3110R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3111L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3113L,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3113R,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3118L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3118R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3120L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3121R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3122L,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3122R,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3124L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3128L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3130L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3130R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3131L,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3133L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3133R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3136L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3136R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3139L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3139R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3145L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø330,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3145R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø330,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3146L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø330,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3146R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø330,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3151L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3151R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3153L,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3153R,BRAKE DISK WAVE FLAOTING AL-HUB SK3 Ø 320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3156L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø330,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3164R,BRAKE DISK WAVE FLOATING AL-HUB SK3 10 NOTT Ø310,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3166L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3166R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø320,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3167L,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
WK3167R,BRAKE DISK WAVE FLOATING AL-HUB SK3 Ø300,BRAKI,DISKS#ON ROAD#RACING#SK3
