sku,nome_prodotto,brand,categoria
KIT5303001214,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#RACING#OKI
KIT5303001519,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#RACING#OKI
KIT560320.24,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#RACING#OKI
KITOR500407,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#URBAN#OKI
KITOR500811,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#URBAN#OKI
KITOR5301219,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#URBAN#OKI
KITOS500407,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#CHALLENGE#OKI
KITOS500811,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#CHALLENGE#OKI
KITOS5301219,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#CHALLENGE#OKI
KITOW500407,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#RACING#OKI
KITOW500811,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#RACING#OKI
KITOW5301219,OKI KIT [FRONT&REAR DISCS + PADS],BRAKI,OKI KIT#SCOOTER#RACING#OKI
KITR10,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0028,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0030,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0036,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0041,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0043,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0044,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0054,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0056,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0057,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0066,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0070,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0071,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0079,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0087,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0089,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0098,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0099,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0125,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0146,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0147,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0154,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0155,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0158,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0159,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0170,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0178,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0179,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0182,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0183,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0193,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0195R,KIT REPLACEMENT,BRAKI,REPLACEMENT#ON ROAD#RACING#REP
KR0197,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0202,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0203,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0204,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0205,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0206,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0210,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0215,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0217,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0218,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0219,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0220,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KR0221,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
KRB001,ERGONOMIC BICYCLE RIGHT FIX LEVER,BRAKI,ALL BICYCLE#BICI#CHALLENGE#LEVER
KRB002,ERGONOMIC BICYCLE LEFT FIX LEVER,BRAKI,ALL BICYCLE#BICI#CHALLENGE#LEVER
KRB003,INCAS CARTRIDGE 10,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB004,BICYCLE MC COVER RIGHT,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB005,BICYCLE MC COVER LEFT,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB006,OVERSIZE BICYCLE CALIPER WITH RADIATOR (CNC),BRAKI,ALL BICYCLE#BICI#CHALLENGE#BICYCLE CALIPER
KRB007,SPACER/RADIATOR FOR BICYCLE CNC CALIPER,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB008,MATCHMAKER SRAM RIGHT,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB009,MATCHMAKER SRAM LEFT,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB010,RADIATOR FOR INCAS SYSTEM,BRAKI,ALL BICYCLE#BICI#CHALLENGE#KR10
KRB011,INCAS CARTRIDGE 9,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB012,REPLACEMENT MEMBRANE KIT RIGHT,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB013,REPLACEMENT MEMBRANE KIT LEFT,BRAKI,ALL BICYCLE#BICI#CHALLENGE#REP
KRB014,SCREWS FOR PADS INCAS,BRAKI,ALL BICYCLE#BICI#URBAN#REP
KRB015,ORINGS FOR BICYCLE CALIPER,BRAKI,ALL BICYCLE#BICI#URBAN#REP
KRB017,OR BICYCLE CALIPER BLEED 10 pcs,BRAKI,ALL BICYCLE#BICI#URBAN#REP
KRB019,BICYCLE CALIPER PISTONS D.26,BRAKI,ALL BICYCLE#BICI#URBAN#REP
KRF001,MASTER CYLINDER RIGHT,BRAKI,ALL BICYCLE#BICI#ALL#BICYCLE M-CYLINDER
KRF002,MASTER CYLINDER LEFT,BRAKI,ALL BICYCLE#BICI#ALL#BICYCLE M-CYLINDER
KRF003,ERGONOMIC LEVER RIGHT,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF004,ERGONOMIC LEVER LEFT,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF005,SHORT LINK,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF006,STANDARD LINK,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF007,LONG LINK,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF008,MASTER CYLINDER PISTON ROD SCREW + MEMBRANE + NUT,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF009,MASTER CYLINDER BRACELET AND SCREWS,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF010,MATCHMAKER SRAM RIGHT,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF011,MATCHMAKER SRAM LEFT,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF012,MATCHMAKER SHIMANO RIGHT,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF013,MATCHMAKER SHIMANO LEFT,BRAKI,ALL BICYCLE#BICI#ALL#REP
